1,0
0.9,0.0285
0.8,0.055
0.7,0.0775
0.6,0.097
0.5,0.1135
0.4,0.125
0.3,0.1175
0.2,0.097
0.15,0.08275
0.1,0.0675
0.05,0.04625
0.025,0.03063
0.0125,0.02031
0,0
0.0125,-0.01469
0.025,-0.01938
0.05,-0.02175
0.1,-0.0205
0.15,-0.00925
0.2,0.005
0.3,0.0355
0.4,0.07
0.5,0.0625
0.6,0.05
0.7,0.0375
0.8,0.025
0.9,0.0125
1,0
